date,campaign_id,campaign_name,placement,impressions,clicks,cost,orders,sales,ctr,cpc,cvr,acos,roas,zero_sales_spend_flag
2020-02-01,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,First page Top of Search on Amazon,29,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Product pages on Amazon,867,2,12.585,0,0.0,0.002306805074971165,6.2925,0.0,,0.0,True
2020-02-01,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Rest of search on Amazon,64,1,12.65,0,0.0,0.015625,12.65,0.0,,0.0,True
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,First page Top of Search on Amazon,114,3,39.803333333333335,0,0.0,0.02631578947368421,13.267777777777779,0.0,,0.0,True
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Product pages on Amazon,2408,3,32.84333333333333,0,0.0,0.0012458471760797341,10.947777777777775,0.0,,0.0,True
2020-02-01,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Rest of search on Amazon,347,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,First page Top of Search on Amazon,96,11,11.35,3,961.62,0.11458333333333333,1.0318181818181817,0.2727272727272727,0.011802999105675838,84.72422907488988,False
2020-02-01,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Product pages on Amazon,651,2,38.415,0,0.0,0.0030721966205837174,19.2075,0.0,,0.0,True
2020-02-01,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Rest of search on Amazon,35,0,0.0,0,0.0,0.0,,,,,False
2020-02-01,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,First page Top of Search on Amazon,39,2,1.0,0,0.0,0.05128205128205128,0.5,0.0,,0.0,True
2020-02-01,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Product pages on Amazon,1342,2,18.945,0,0.0,0.0014903129657228018,9.4725,0.0,,0.0,True
2020-02-01,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Rest of search on Amazon,2512,14,15.430714285714286,0,0.0,0.005573248407643312,1.1021938775510205,0.0,,0.0,True
2020-02-02,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,First page Top of Search on Amazon,39,0,0.0,0,0.0,0.0,,,,,False
2020-02-02,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Product pages on Amazon,1444,1,12.76,0,0.0,0.0006925207756232687,12.76,0.0,,0.0,True
2020-02-02,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Rest of search on Amazon,91,0,0.0,0,0.0,0.0,,,,,False
2020-02-02,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,First page Top of Search on Amazon,131,7,41.15285714285714,1,320.54,0.05343511450381679,5.878979591836734,0.14285714285714285,0.1283860271506119,7.7890096157184034,False
2020-02-02,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Product pages on Amazon,2187,7,30.82,1,320.54,0.003200731595793324,4.402857142857143,0.14285714285714285,0.09615024645910027,10.400389357560027,False
2020-02-02,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Rest of search on Amazon,374,3,19.51333333333333,0,0.0,0.008021390374331552,6.5044444444444425,0.0,,0.0,True
2020-02-02,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,First page Top of Search on Amazon,94,8,3.68125,2,1282.16,0.0851063829787234,0.46015625,0.25,0.0028711315280464215,348.2947368421053,False
2020-02-02,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Product pages on Amazon,628,0,0.0,0,0.0,0.0,,,,,False
2020-02-02,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Rest of search on Amazon,21,1,15.41,0,0.0,0.047619047619047616,15.41,0.0,,0.0,True
2020-02-02,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,First page Top of Search on Amazon,76,7,17.042857142857144,2,1164.42,0.09210526315789473,2.4346938775510205,0.2857142857142857,0.014636348691071215,68.323051131601,False
2020-02-02,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Product pages on Amazon,1803,1,19.91,0,0.0,0.0005546311702717693,19.91,0.0,,0.0,True
2020-02-02,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Rest of search on Amazon,3667,22,17.295909090909092,2,776.28,0.0059994545950368145,0.7861776859504133,0.09090909090909091,0.02228050328606829,44.882289558750095,False
2020-02-03,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,First page Top of Search on Amazon,61,5,9.868,0,0.0,0.08196721311475409,1.9736,0.0,,0.0,True
2020-02-03,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Product pages on Amazon,1769,0,0.0,0,0.0,0.0,,,,,False
2020-02-03,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Rest of search on Amazon,101,1,11.7,0,0.0,0.009900990099009901,11.7,0.0,,0.0,True
2020-02-03,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,First page Top of Search on Amazon,81,1,16.92,0,0.0,0.012345679012345678,16.92,0.0,,0.0,True
2020-02-03,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Product pages on Amazon,2107,2,28.415,0,0.0,0.0009492168960607499,14.2075,0.0,,0.0,True
2020-02-03,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Rest of search on Amazon,294,2,27.715000000000003,0,0.0,0.006802721088435374,13.857500000000002,0.0,,0.0,True
2020-02-03,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,First page Top of Search on Amazon,74,17,3.168823529411765,3,1226.8,0.22972972972972974,0.186401384083045,0.17647058823529413,0.002582999290358465,387.14683497308334,False
2020-02-03,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Product pages on Amazon,652,0,0.0,0,0.0,0.0,,,,,False
2020-02-03,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Rest of search on Amazon,33,0,0.0,0,0.0,0.0,,,,,False
2020-02-03,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,First page Top of Search on Amazon,50,1,15.86,0,0.0,0.02,15.86,0.0,,0.0,True
2020-02-03,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Product pages on Amazon,2891,0,0.0,0,0.0,0.0,,,,,False
