date,campaign_id,campaign_name,search_term,impressions,clicks,cost,orders,sales,ctr,cpc,cvr,acos,roas,zero_sales_spend_flag
2020-02-25,Sunscreen || SP || Automatic || 22nd Nov'19,Sunscreen || SP || Automatic || 22nd Nov'19,b078x8fx9g,3,1,1.21,0,0.0,0.3333333333333333,1.21,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Automatic || 22nd Nov'19,Sunscreen || SP || Automatic || 22nd Nov'19,b07vp5jfrb,3,1,4.02,0,0.0,0.3333333333333333,4.02,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Automatic || 22nd Nov'19,Sunscreen || SP || Automatic || 22nd Nov'19,sunscreen lotion,73,1,15.3,0,0.0,0.0136986301369863,15.3,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,aroma magic sunscreen spf 50,77,1,30.33,0,0.0,0.012987012987012988,30.33,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,avene sunscreen spf 50,176,1,23.82,0,0.0,0.005681818181818182,23.82,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,avon sunscreen spf 50,47,1,25.58,0,0.0,0.02127659574468085,25.58,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,cetaphil sunscreen spf 50,259,1,26.07,0,0.0,0.003861003861003861,26.07,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,clinique sunscreen spf 50,40,1,25.74,0,0.0,0.025,25.74,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,derma sunscreen spf 50,18,1,28.81,0,0.0,0.05555555555555555,28.81,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,evver uv guard,1,1,1.0,0,0.0,1.0,1.0,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,greenberry organic sunscreen spf 50,6,1,29.84,0,0.0,0.16666666666666666,29.84,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,khadi sunscreen spf 50,68,1,29.7,0,0.0,0.014705882352941176,29.7,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,lass naturals sunscreen spf 50,2,1,25.8,0,0.0,0.5,25.8,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,lotus sunscreen spf 50 matte gel 50g,222,1,27.24,0,0.0,0.0045045045045045045,27.24,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,mamaearth sunscreen spf 50,248,1,28.31,0,0.0,0.004032258064516129,28.31,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,medicated sunscreen spf 50,9,1,22.65,0,0.0,0.1111111111111111,22.65,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,oriflame sunscreen spf 50,32,1,20.22,0,0.0,0.03125,20.22,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,solasafe sunscreen spf 50,658,3,27.82333333333333,0,0.0,0.004559270516717325,9.274444444444443,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,solasafe sunscreen spf 50 gel,794,1,18.15,0,0.0,0.0012594458438287153,18.15,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,sunscreen,12050,25,25.7168,0,0.0,0.002074688796680498,1.028672,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,sunscreen spf 50 for women,25,1,25.04,0,0.0,0.04,25.04,0.0,,0.0,True
2020-02-25,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,vlcc sunscreen spf 50,210,1,23.19,0,0.0,0.004761904761904762,23.19,0.0,,0.0,True
2020-02-26,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,bhringraj oil for hair,1237,8,46.23625,0,0.0,0.0064672594987873885,5.77953125,0.0,,0.0,True
2020-02-26,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,hair oil,5329,21,61.35809523809524,0,0.0,0.003940701820228936,2.921814058956916,0.0,,0.0,True
