report_id,company,actor_name,actor_type,theme_tag,evidence_page_numbers
CN058,SF Holding,Ministry of Ecology and Environment,Government,emissions_reduction,23
CN058,SF Holding,SF Foundation,NGO,partnerships_general,33
CN058,SF Holding,SF Foundation has cooperated with the China Green Carbon Foundation,NGO,emissions_reduction,33
CN059,Shenzhen International Holding Limited,Strategic Cooperation Agreement with the Research Institute of Tsinghua University,Academic,ESG_governance,8
CN059,Shenzhen International Holding Limited,Liguang Pile Foundation,NGO,supply_chain_governance,40
CN060,Sungrow,Hefei University,Academic,renewable_energy,33
CN061,Sunny Optical Technology,Yuyao College of the Open University,Academic,transparency_reporting,41
CN062,Sunwoda,Ministry of Industry and I,Government,emissions_reduction,9
CN062,Sunwoda,UN Global Compact SDG Ambition Accelerator,NGO,emissions_reduction,16
CN062,Sunwoda,China Industry- University,Academic,employee_health_safety,25
CN062,Sunwoda,Guangdong University,Academic,employee_health_safety,25
CN062,Sunwoda,Sunwoda Foundation,NGO,partnerships_general,65
CN064,TCL Technology Group,HuaMeng Philanthropic Foundation,NGO,diversity_inclusion,5
CN064,TCL Technology Group,TCL Charity Foundation,NGO,diversity_inclusion,5
CN064,TCL Technology Group,TCL Charity Foundation,NGO,community_development,52
CN064,TCL Technology Group,TCL Charity Foundation,NGO,renewable_energy,53
CN064,TCL Technology Group,TCL Charity Foundation,NGO,innovation_green_tech,53
CN065,Tencent,We have partnered with experts from Stanford University and Peking University,Academic,innovation_green_tech,43
CN065,Tencent,Ministry of Agriculture and Rural Affairs,Government,innovation_green_tech,71
CN065,Tencent,Many scientists supported by the New Cornerstone Science Foundation,NGO,water_management,74
CN067,Vanke,Vanke Foundation,NGO,biodiversity_ecosystems,10
CN067,Vanke,Vanke Foundation,NGO,biodiversity_ecosystems,16
CN067,Vanke,Vanke Foundation,NGO,stakeholder_engagement,16
CN067,Vanke,Vanke Foundation,NGO,partnerships_general,67
CN068,WuXi AppTec,UNGC,NGO,innovation_green_tech,19
CN069,XCMG,China Foundation,NGO,water_management,55
CN069,XCMG,XCMG Machinery and the China Foundation,NGO,water_management,55
CN070,Xiaomi,UN Global Compact,NGO,emissions_reduction,54
CN070,Xiaomi,UNGC,NGO,emissions_reduction,54
CN070,Xiaomi,Mangrove Conservation Foundation,NGO,innovation_green_tech,58
CN070,Xiaomi,UN Guiding Principles on Business and Human Rights,NGO,labor_rights,71
CN070,Xiaomi,UN Universal Declaration of Human Rights,NGO,labor_rights,71
CN070,Xiaomi,Leadership of Foundation,NGO,board_structure,7
CN071,"Zhejiang Huayou Cobalt Co., Ltd.",UN Sustainable Development Goals,NGO,SDG_alignment,20
CN072,Zijin,UNHG,NGO,water_management,13
CN073,ZTE Corporation,UN Women,NGO,diversity_inclusion,8
CN073,ZTE Corporation,UN Global Compact,NGO,training_education,14
CN073,ZTE Corporation,Empowering Industries Through Innovation and Building the Foundation,NGO,employee_health_safety,27
CN073,ZTE Corporation,Ministry of Commerce jointly hosted the eighth Conference of Chinese and African Entrepreneur,Government,partnerships_general,34
