date,campaign_id,campaign_name,target,match_type,targeting_type,impressions,clicks,cost,orders,sales
2025-11-05,B07W8S6TC3 - Saffron Supplement - Non Branded - ST - SD Scaling - Cambria  - Phrase - 5,B07W8S6TC3 - Saffron Supplement - Non Branded - ST - SD Scaling - Cambria  - Phrase - 5,safron,phrase,unknown,230,1,2.0,0,0.0
2025-11-05,B07W8S6TC3 - Saffron Supplement - Offensive - CT - Scaling - Cambria,B07W8S6TC3 - Saffron Supplement - Offensive - CT - Scaling - Cambria,"category=""Saffron""",-,unknown,16,1,0.65,0,0.0
2025-11-05,B07W8S6TC3 - Saffron Supplement - appetite KW Testing - BM - Cambria,B07W8S6TC3 - Saffron Supplement - appetite KW Testing - BM - Cambria,+appetite +suppressant +for +weight +loss +for +women,broad,unknown,2,1,2.03,0,0.0
2025-11-05,B07W8S6TC3 - Saffron Supplement - appetite KW Testing - BM - Cambria,B07W8S6TC3 - Saffron Supplement - appetite KW Testing - BM - Cambria,+appetite +suppressants,broad,unknown,26,2,4.869999999999999,1,20.99
2025-11-05,B07W8S6TC3 - Saffron Supplement - appetite KW Testing - Phrase - Cambria,B07W8S6TC3 - Saffron Supplement - appetite KW Testing - Phrase - Cambria,saffron extract appetite suppressant,phrase,unknown,6,2,3.62,0,0.0
2025-11-05,B087QTGP1D (MUSHROOM) - SP - AUTO LOOSE,B087QTGP1D (MUSHROOM) - SP - AUTO LOOSE,loose-match,-,unknown,2,1,0.97,0,0.0
2025-11-05,B087QTGP1D (Mushroom) - SP - BROAD,B087QTGP1D (Mushroom) - SP - BROAD,aceworkz,phrase,unknown,62,1,3.71,0,0.0
2025-11-05,B087QTGP1D - M. Complex Supplement - Non Branded - Scaling - Cambria  - Broad - 3,B087QTGP1D - M. Complex Supplement - Non Branded - Scaling - Cambria  - Broad - 3,mushroom supplement,broad,unknown,4,2,3.2,0,0.0
2025-11-05,B087QTGP1D - M. Complex Supplement - Non Branded - Scaling - Cambria  - Broad - 4,B087QTGP1D - M. Complex Supplement - Non Branded - Scaling - Cambria  - Broad - 4,supplement men,broad,unknown,2,1,1.6,0,0.0
2025-11-05,B087QTGP1D - M. Complex Supplement - Non Branded - Scaling - Cambria  - Expanded ASIN - 2,B087QTGP1D - M. Complex Supplement - Non Branded - Scaling - Cambria  - Expanded ASIN - 2,"asin-expanded=""B0BG6TGKZS""",-,unknown,2,1,1.25,0,0.0
2025-11-05,B087QTGP1D - Mushroom Complex - *mushroom supplements* - Exact - Ranking -  Main Keywords - SKC- Cambria,B087QTGP1D - Mushroom Complex - *mushroom supplements* - Exact - Ranking -  Main Keywords - SKC- Cambria,mushroom supplements,exact,unknown,52,4,15.81,2,45.98
2025-11-05,B08HMCY7Y5 (BERBERINE) - SP - EXACT 1,B08HMCY7Y5 (BERBERINE) - SP - EXACT 1,berberine 500mg,exact,unknown,90,1,2.34,0,0.0
2025-11-05,B08HMCY7Y5 (BERBERINE) - SP - KWG: BERBERINE / SUPPLEMENT SKC 'BERBERINE SUPPLEMENT',B08HMCY7Y5 (BERBERINE) - SP - KWG: BERBERINE / SUPPLEMENT SKC 'BERBERINE SUPPLEMENT',berberine supplement,exact,unknown,36,8,27.83,0,0.0
2025-11-05,B08HMCY7Y5 (BERBERINE) - SP - KWG: BERBERINE SKC 'BERBERINE',B08HMCY7Y5 (BERBERINE) - SP - KWG: BERBERINE SKC 'BERBERINE',berberine,exact,unknown,73,6,19.81,1,24.99
2025-11-05,B08HMCY7Y5 (BERBERINE) - SP - LOW BID PRODUCT,B08HMCY7Y5 (BERBERINE) - SP - LOW BID PRODUCT,"asin=""B0083V8UB4""",-,unknown,116,1,3.22,0,0.0
2025-11-05,B08HMCY7Y5 (BERBERINE) - SP - PRODUCT 1,B08HMCY7Y5 (BERBERINE) - SP - PRODUCT 1,"asin=""B07X4B7QFM""",-,unknown,5,1,1.2,0,0.0
2025-11-05,B08HMCY7Y5 (BERBERINE) - SP - PRODUCT 1,B08HMCY7Y5 (BERBERINE) - SP - PRODUCT 1,"asin=""B0CBB1H324""",-,unknown,153,3,6.33,0,0.0
2025-11-05,B08HMCY7Y5 (BERBERINE) - SP - PRODUCT 1,B08HMCY7Y5 (BERBERINE) - SP - PRODUCT 1,"asin=""B0CD8PV49D""",-,unknown,311,2,4.57,0,0.0
2025-11-05,B08HMCY7Y5 (Berberine) - SP - PHRASE,B08HMCY7Y5 (Berberine) - SP - PHRASE,berberine,phrase,unknown,48,2,2.44,1,24.99
2025-11-05,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Broad - 1,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Broad - 1,berberine,broad,unknown,12,2,2.8,0,0.0
